2026-04-19 01:30:17,333 [INFO] Reading raw offers from C:\Users\marouane\Desktop\FindJob\transformers\data\adzuna_raw.json
2026-04-19 01:30:17,352 [INFO] Loaded 1000 raw offers
2026-04-19 01:30:17,547 [INFO] Transformed offer | poste='Stage Data Scientist - F/H' | societe='ChapsVision' | lieu='Paris, Ile-de-France' | contrat=Stage | seniorite=Stage | tech=1
2026-04-19 01:30:17,548 [INFO] Transformed offer | poste='Data scientist' | societe='VeoNum' | lieu='Ille-et-Vilaine, Bretagne' | contrat=None | seniorite=None | tech=1
2026-04-19 01:30:17,550 [INFO] Transformed offer | poste='Directeur / Directrice Data Groupe' | societe='Informatis-TS' | lieu='France' | contrat=None | seniorite=None | tech=1
2026-04-19 01:30:17,551 [INFO] Transformed offer | poste='Lead Data Analyst F/H' | societe='GROUPE CAISSE DES DEPOTS' | lieu='Paris, Ile-de-France' | contrat=None | seniorite=Senior | tech=1
2026-04-19 01:30:17,552 [INFO] Transformed offer | poste='Senior Data Scientist H/F (CDI)' | societe='Kaino' | lieu='Hauts-de-Seine, Ile-de-France' | contrat=CDI | seniorite=Senior | tech=0
2026-04-19 01:30:17,554 [INFO] Transformed offer | poste='Data Scientist IA - H/F' | societe='Synchrone Fr' | lieu='Ile-de-France, France' | contrat=CDI | seniorite=None | tech=4
2026-04-19 01:30:17,555 [INFO] Transformed offer | poste='Senior Data Scientist / AI Engineer H/F (CDI)' | societe='Bureau des Talents' | lieu='Puteaux, Nanterre' | contrat=CDI | seniorite=Senior | tech=1
2026-04-19 01:30:17,557 [INFO] Transformed offer | poste='Data Engineer Teradata & Big Data (H/F)' | societe='Scalian' | lieu='Neuilly-sur-Seine, Nanterre' | contrat=CDI | seniorite=Confirmé | tech=3
2026-04-19 01:30:17,559 [INFO] Transformed offer | poste='Data Scientist Consultant (M/F)' | societe='TNP Consultants' | lieu='Levallois-Perret, Nanterre' | contrat=None | seniorite=None | tech=0
2026-04-19 01:30:17,560 [INFO] Transformed offer | poste='Lead Data Scientist H/F (CDI)' | societe='Kaino' | lieu='Hauts-de-Seine, Ile-de-France' | contrat=CDI | seniorite=Senior | tech=0
2026-04-19 01:30:17,561 [INFO] Transformed offer | poste='Big Data Engineer / Développeur Big Data H/F' | societe='Forums Talents Handicap' | lieu='Calvados, Normandie' | contrat=CDI | seniorite=None | tech=1
2026-04-19 01:30:17,563 [INFO] Transformed offer | poste='Data Analyst GCP' | societe='Lincoln' | lieu='Ile-de-France, France' | contrat=None | seniorite=Confirmé | tech=4
2026-04-19 01:30:17,564 [INFO] Transformed offer | poste='Data Scientist' | societe='Veepee' | lieu='Paris, Ile-de-France' | contrat=None | seniorite=None | tech=0
2026-04-19 01:30:17,565 [INFO] Transformed offer | poste='BUSINESS DATA ANALYST' | societe='ManpowerGroup' | lieu='Saint-Chamond, Saint-Etienne' | contrat=None | seniorite=None | tech=0
2026-04-19 01:30:17,567 [INFO] Transformed offer | poste='Alternance – Data Scientist Big Data & Intelligence Artificielle (H/F)' | societe='ESG' | lieu='France' | contrat=Alternance | seniorite=Alternance | tech=1
2026-04-19 01:30:17,572 [INFO] Transformed offer | poste='Big Data Engineer / Développeur Big Data F/H' | societe='Atos' | lieu='Nantes, Loire-Atlantique' | contrat=CDI | seniorite=None | tech=1
2026-04-19 01:30:17,574 [INFO] Transformed offer | poste='Data Scientist Senior Consultant' | societe='JAKALA' | lieu='Paris, Ile-de-France' | contrat=None | seniorite=Senior | tech=1
2026-04-19 01:30:17,575 [INFO] Transformed offer | poste='Data Analyst Power BI / Pilotage de la performance Cyber - Toulouse' | societe='Sopra Steria' | lieu='Blagnac, Toulouse' | contrat=None | seniorite=None | tech=2
2026-04-19 01:30:17,576 [INFO] Transformed offer | poste='Data scientist' | societe='CDISCOUNT' | lieu='Gironde, Nouvelle-Aquitaine' | contrat=CDI | seniorite=None | tech=1
2026-04-19 01:30:17,578 [INFO] Transformed offer | poste='Chef de Projet Data & IA – H/F' | societe='Synchrone Fr' | lieu='Ile-de-France, France' | contrat=CDI | seniorite=None | tech=1
2026-04-19 01:30:17,579 [INFO] Transformed offer | poste='Data Scientist / AI Engineer' | societe='lemlist' | lieu='Paris, Ile-de-France' | contrat=None | seniorite=None | tech=0
2026-04-19 01:30:17,580 [INFO] Transformed offer | poste='Data Engineer expérimenté(e)' | societe='OPEN' | lieu='Levallois-Perret, Nanterre' | contrat=None | seniorite=None | tech=0
2026-04-19 01:30:17,582 [INFO] Transformed offer | poste='Data Scientist ‒ Fraud & Payment Analytics (IT)' | societe='Ela Technology' | lieu='Paris, Ile-de-France' | contrat=CDI | seniorite=None | tech=1
